📥 Clonando repositório https://github.com/pallets/flask.git ...

=== 📊 CODE QUALITY (Radon) ===
- examples/tutorial/tests/test_auth.py: 71.57, B
- examples/tutorial/tests/test_blog.py: 54.72, C
- examples/tutorial/tests/test_factory.py: 71.19, B
- examples/tutorial/tests/test_db.py: 61.41, C
- examples/tutorial/flaskr/blog.py: 65.22, C
- examples/tutorial/flaskr/auth.py: 62.92, C
- examples/javascript/tests/test_js_example.py: 67.42, C
- examples/javascript/js_example/views.py: 70.12, B
- examples/celery/src/task_app/tasks.py: 64.88, C
- tests/test_json.py: 36.66, D
- tests/test_request.py: 58.17, C
- tests/test_converters.py: 55.55, C
- tests/test_templating.py: 17.14, E
- tests/test_subclassing.py: 64.14, C
- tests/test_cli.py: 23.13, E
- tests/test_user_error_handler.py: 39.02, D
- tests/test_config.py: 31.96, D
- tests/test_regression.py: 73.44, B
- tests/test_async.py: 44.5, D
- tests/test_blueprints.py: 2.82, E
- tests/test_helpers.py: 37.34, D
- tests/test_reqctx.py: 35.85, D
- tests/test_signals.py: 33.49, D
- tests/test_json_tag.py: 58.4, C
- tests/test_testing.py: 29.2, E
- tests/conftest.py: 65.23, C
- tests/test_basic.py: 0.0, E
- tests/test_views.py: 32.52, D
- tests/test_logging.py: 40.55, D
- tests/test_appctx.py: 43.99, D
- tests/test_instance_config.py: 41.85, D
- docs/conf.py: 64.6, C
- src/flask/blueprints.py: 81.73, B
- src/flask/logging.py: 82.53, B
- src/flask/debughelpers.py: 56.75, C
- src/flask/wrappers.py: 56.42, C
- src/flask/cli.py: 26.77, E
- src/flask/testing.py: 60.64, C
- src/flask/ctx.py: 49.83, D
- src/flask/config.py: 57.45, C
- src/flask/globals.py: 79.5, B
- src/flask/helpers.py: 47.34, D
- src/flask/app.py: 23.64, E
- src/flask/sessions.py: 59.15, C
- src/flask/views.py: 60.69, C
- src/flask/templating.py: 61.34, C
- src/flask/typing.py: 79.29, B
- src/flask/sansio/blueprints.py: 45.14, D
- src/flask/sansio/scaffold.py: 43.85, D
- src/flask/sansio/app.py: 32.41, D
- src/flask/json/provider.py: 58.28, C
- src/flask/json/tag.py: 58.88, C
